Age,State,Posts,Views,Duration,Authors,AuthorExperience,DeletedPosts,Forum,AuthorBanned
2626,open,2,536,13,2,0,0,Science,not banned
3699,open,8,519,0,4,51,0,Discussion,not banned
3487,open,11,2840,3,4,9,0,Math,not banned
1821,open,3,283,0,2,0,0,Speculation,not banned
1230,open,3,694,3,2,617,0,Speculation,not banned
3047,open,185,5698,32,27,171,7,Misc,not banned
3854,open,47,31334,3,11,237,0,Science,not banned
4048,open,10,1459,268,5,26,0,Medicine,not banned
1461,open,9,893,3,4,42,0,Science,banned
2502,open,39,238,852,12,1499,0,Misc,not banned
3368,open,8,684,9,6,2,0,Science,not banned
200,open,8,126,0,4,2,0,Speculation,not banned
3337,open,4,321,0,4,0,0,Science,not banned
3478,closed,56,3600,4,6,473,0,Math,not banned
2017,open,9,656,1,8,1,0,Science,not banned
1357,open,2,958,19,2,0,0,Science,not banned
1947,open,87,14953,65,13,251,0,Speculation,not banned
2811,open,29,2335,34,13,437,5,Science,not banned
3759,open,12,801,10,6,45,0,Science,not banned
3271,open,2,383,1,2,481,0,Science,not banned
3289,open,6,1390,15,4,255,0,Science,not banned
1194,open,4,1122,11,3,0,0,Homework,not banned
1382,open,3,3122,0,3,0,0,Science,not banned
2042,closed,4,1324,2,4,0,0,Science,not banned
1904,open,2,484,2,2,59,0,Science,not banned
483,open,6,294,12,2,0,0,Homework,not banned
2284,open,6,610,10,5,0,0,Misc,not banned
2275,open,2,728,0,2,5,0,Science,not banned
915,open,5,325,1,3,15,0,Homework,not banned
1960,open,4,340,0,3,1584,0,Discussion,not banned
359,open,2,279,1,2,130,0,Science,not banned
2791,closed,37,4279,55,15,0,0,Misc,not banned
1679,open,19,1425,0,3,24,0,Science,not banned
3370,open,21,1653,1,3,780,0,Misc,not banned
1038,open,2,904,2,1,42,0,Math,not banned
2620,open,19,11586,11,10,732,0,Science,not banned
1651,open,2,417,3,2,453,0,Science,not banned
677,open,6,1264,167,5,14,0,Discussion,not banned
401,open,3,237,0,2,0,0,Homework,not banned
1356,open,3,1964,1,3,1814,0,Misc,not banned
281,open,8,412,1,4,305,0,Misc,not banned
421,open,4,413,9,4,0,0,Science,not banned
280,open,4,155,0,3,64,0,Homework,not banned
2176,open,6,382,0,5,411,0,Discussion,not banned
3386,open,57,2639,18,23,232,0,Discussion,not banned
3867,closed,7,554,65,5,351,0,Science,not banned
2557,open,2,419,0,2,28,0,Homework,not banned
631,open,4,283,18,3,0,0,Homework,not banned
2699,open,15,2192,39,10,755,0,Math,not banned
3020,open,5,564,0,3,1130,0,Science,not banned
654,open,3,218,1,3,253,0,Homework,not banned
2283,open,5,750,1,5,1261,0,Discussion,not banned
3233,open,4,466,1,3,255,0,Math,not banned
789,open,4,219,1,2,276,0,Homework,not banned
1459,open,7,644,0,6,15,0,Discussion,not banned
2289,open,60,5452,54,15,0,2,Math,not banned
1917,open,2,492,2,2,1534,0,Medicine,not banned
1885,open,2,477,6,2,444,0,Misc,not banned
1858,open,4,709,0,4,308,0,Science,not banned
3823,open,10,644,0,7,163,0,Discussion,not banned
1647,open,10,1800,1,7,1052,0,Discussion,banned
930,open,4,571,18,4,0,0,Math,not banned
3389,open,6,515,1,4,415,0,Science,not banned
36,open,16,361,6,3,965,0,Medicine,not banned
2920,open,5,473,2,4,572,0,Science,not banned
2499,open,9,696,16,7,3,0,Science,not banned
672,open,6,483,5,3,201,0,Science,not banned
860,open,13,2179,2,7,1511,0,Science,not banned
3113,open,18,1110,98,10,273,0,Science,not banned
3685,open,5,465,0,4,303,0,Misc,not banned
1884,open,4,601,0,2,1442,0,Science,not banned
2741,open,7,724,11,5,0,0,Homework,not banned
1248,open,11,1880,10,4,9,0,Science,not banned
2291,open,6,462,1,6,0,0,Speculation,not banned
1781,open,3,2457,1,3,629,0,Science,not banned
462,open,21,1500,110,15,0,0,Science,not banned
1221,open,10,2548,16,8,4,0,Science,not banned
202,open,9,323,1,5,0,0,Speculation,not banned
3838,open,115,20061,372,28,12,0,Math,not banned
623,open,17,654,10,5,1382,0,Math,not banned
2576,open,10,717,8,5,11,0,Science,not banned
3468,open,2,511,1,2,605,0,Science,not banned
991,open,23,2391,30,8,981,0,Discussion,not banned
834,open,3,477,0,3,0,0,Science,not banned
1586,open,13,1167,22,7,21,0,Science,not banned
3546,open,13,548,37,7,204,1,Discussion,not banned
1302,open,13,1132,3,5,1817,0,Science,not banned
2107,open,6,721,3,5,0,0,Homework,not banned
2181,open,7,715,78,4,0,1,Medicine,not banned
438,open,42,1124,43,6,0,0,Science,not banned
1512,open,30,2552,22,13,57,0,Science,not banned
786,open,14,679,2,8,0,1,Science,not banned
50,open,12,198,0,5,49,0,Science,not banned
1970,open,2,603,1,2,89,0,Medicine,banned
2670,open,19,1376,4,10,64,0,Misc,not banned
676,open,8,465,3,4,32,0,Science,not banned
2293,open,8,15314,3,7,292,0,Homework,not banned
3818,open,10,812,5,5,92,0,Science,not banned
2398,open,2,538,3,3,0,1,Science,not banned
3551,open,5,507,3,3,95,0,Homework,not banned
3327,open,6,769,3,3,381,0,Medicine,not banned
3844,open,4,712,0,4,411,0,Misc,not banned
240,open,7,295,1,5,1257,0,Science,not banned
2213,open,8,431,1,4,0,0,Science,not banned
59,open,2,158,0,2,227,0,Science,not banned
1037,open,4,714,0,3,22,0,Science,not banned
2323,open,6,694,88,6,323,0,Science,not banned
1927,open,2,275,0,2,0,0,Discussion,not banned
2503,open,11,690,2,6,0,0,Science,not banned
3130,open,3,360,0,3,27,0,Science,not banned
3606,open,5,988,1,4,109,0,Homework,not banned
3803,open,25,1443,6,11,84,0,Science,not banned
1708,open,2,299,0,2,1,0,Science,not banned
2424,open,31,2060,88,19,12,0,Science,not banned
3116,open,4,624,1,3,361,0,Science,not banned
1128,open,2,672,0,2,0,0,Misc,not banned
869,open,4,463,0,3,0,0,Science,not banned
500,open,2,399,0,2,0,0,Science,not banned
3493,open,5,583,8,5,257,0,Science,not banned
3369,open,8,4827,5,5,481,0,Science,not banned
1026,open,35,1340,5,9,643,0,Speculation,banned
658,open,7,655,6,5,39,0,Science,not banned
39,open,61,917,14,10,0,0,Science,not banned
3658,open,4,846,66,4,427,0,Science,not banned
3318,open,9,1439,6,5,1,0,Science,not banned
1166,open,5,542,1,2,0,0,Homework,not banned
3600,open,4,492,0,3,555,0,Science,not banned
2950,open,51,2417,8,16,1051,0,Science,not banned
594,open,3,252,1,3,0,0,Speculation,not banned
1194,open,21,3675,65,13,290,2,Medicine,not banned
3073,open,8,683,27,7,471,0,Speculation,not banned
3241,open,13,1366,77,8,114,0,Medicine,not banned
1592,open,13,2579,116,9,512,1,Science,not banned
397,open,5,276,3,4,0,0,Science,not banned
3542,open,8,837,4,4,308,0,Math,not banned
2592,open,6,485,0,4,0,0,Science,not banned
3312,open,12,776,18,6,34,0,Science,not banned
54,open,21,350,3,15,275,0,Discussion,not banned
632,open,3,258,5,3,0,0,Homework,not banned
2488,open,5,472,13,4,0,0,Science,not banned
1020,open,3,478,0,2,649,0,Discussion,banned
1312,open,6,1569,1,4,0,0,Science,not banned
1822,open,2,549,0,3,1011,1,Science,not banned
2669,open,9,986,1,6,1360,0,Science,not banned
1221,open,11,806,1,4,1754,0,Speculation,banned
1800,open,6,414,1,4,0,0,Science,not banned
303,open,48,1525,35,8,5,0,Science,not banned
4390,open,86,4605,1817,48,160,5,Discussion,not banned
1486,open,2,885,0,2,0,0,Science,not banned
1630,open,45,3118,85,10,2120,0,Discussion,not banned
2151,open,10,359,5,8,0,0,Discussion,not banned
3400,open,20,1058,6,8,88,0,Science,not banned
295,open,9,376,7,8,0,0,Science,not banned
2485,open,8,255,1,5,700,0,Discussion,not banned
3337,closed,2,648,0,2,1,0,Medicine,not banned
3801,open,2,745,1,2,38,0,Homework,not banned
1066,open,6,675,0,3,497,0,Science,not banned
3380,open,7,560,12,4,971,0,Discussion,not banned
3250,open,5,439,1,3,0,0,Science,not banned
3224,open,3,412,0,2,580,0,Science,not banned
3307,open,39,1813,10,10,120,0,Science,not banned
3616,open,33,1547,9,6,0,0,Science,not banned
2670,open,6,1721,17,4,0,0,Medicine,not banned
1593,open,7,494,2,4,2224,0,Speculation,not banned
1380,open,3,658,0,3,72,0,Homework,not banned
2013,open,6,1426,143,6,1988,0,Medicine,not banned
4117,open,4,809,2,3,24,0,Science,not banned
1997,open,3,1089,1,2,0,0,Science,not banned
2636,open,3,403,1,2,25,0,Discussion,not banned
552,open,8,353,2,8,3461,0,Discussion,not banned
410,open,21,2157,1,6,23,0,Math,banned
924,closed,2,191,0,2,68,0,Discussion,banned
87,open,22,800,17,5,0,0,Science,not banned
2517,open,21,988,92,13,1,0,Discussion,not banned
1417,open,4,2724,2,2,0,0,Math,not banned
1333,open,11,2307,307,10,0,0,Science,not banned
120,open,8,399,1,3,886,0,Misc,not banned
2088,open,5,1057,3,7,682,2,Science,not banned
2807,open,4,426,0,2,0,0,Homework,not banned
1824,open,8,574,1,7,0,0,Science,not banned
2492,open,15,2604,6,8,0,0,Science,not banned
3144,open,8,337,0,7,143,0,Discussion,not banned
2454,closed,3,547,0,3,0,0,Science,not banned
4536,open,2,673,21,2,13,0,Discussion,not banned
2539,open,9,830,3,4,98,0,Science,not banned
2730,open,4,3186,47,3,0,0,Science,not banned
1282,open,556,22290,1268,70,1216,7,Science,not banned
34,open,3,125,1,2,0,0,Science,not banned
2458,open,8,1923,2,7,1543,1,Misc,not banned
3405,open,4,610,33,4,303,0,Medicine,not banned
3946,open,19,2167,6,8,145,0,Science,not banned
3944,open,9,9224,240,8,170,0,Science,not banned
66,open,4,136,1,4,0,0,Homework,not banned
463,open,2,212,1,2,209,0,Homework,not banned
1277,open,11,1761,1,7,2245,0,Math,not banned
3683,open,2,599,0,1,25,0,Math,not banned
1447,open,5,362,2,3,56,0,Science,banned
1539,open,2,514,0,1,28,0,Homework,not banned
2680,open,5,704,2,5,191,0,Science,not banned
1237,open,23,1852,21,8,405,0,Science,not banned
3831,open,8,980,41,5,330,0,Science,not banned
1890,open,5,2104,12,4,0,0,Misc,not banned
3540,open,9,990,0,6,625,0,Science,not banned
3664,open,6,810,18,4,140,0,Science,not banned
2897,open,15,869,7,4,15,0,Medicine,not banned
607,open,5,276,1,5,60,0,Science,not banned
297,open,2,420,0,2,289,0,Misc,not banned
3913,open,5,453,1,4,627,0,Discussion,not banned
3150,open,4,556,0,3,0,0,Science,not banned
3501,open,19,757,2,11,168,0,Discussion,not banned
114,open,3,343,3,3,0,0,Math,not banned
176,open,36,726,16,6,26,0,Speculation,not banned
4200,open,18,1266,4,8,349,0,Speculation,not banned
268,open,7,492,21,7,0,0,Science,not banned
1049,open,4,1805,4,2,3,0,Misc,not banned
3042,open,17,936,1,6,576,0,Speculation,not banned
3455,open,4,553,0,2,473,0,Science,not banned
1278,open,72,7962,840,27,63,0,Science,not banned
3751,open,11,860,7,8,53,0,Science,not banned
1551,open,2,538,3,2,1148,0,Science,banned
2099,open,9,658,34,4,1762,1,Science,not banned
2558,open,7,7543,10,5,0,1,Misc,not banned
1367,open,5,993,0,4,0,0,Science,not banned
3946,open,27,1917,11,12,2,0,Science,not banned
2972,open,20,1190,2,16,734,0,Discussion,not banned
1636,open,3,398,1,2,19,0,Science,not banned
1840,open,30,5123,789,11,169,0,Science,not banned
2078,open,2,276,0,2,3,0,Discussion,not banned
3251,open,2,535,21,2,519,0,Science,not banned
2889,open,2,317,0,2,1165,0,Discussion,not banned
1136,open,22,1327,598,15,609,0,Speculation,not banned
854,open,16,1177,66,5,1517,0,Misc,not banned
2919,open,10,738,30,9,569,0,Medicine,not banned
1200,open,12,1246,43,6,8,0,Science,not banned
1557,open,17,2435,61,5,547,0,Science,not banned
2308,open,2,636,0,2,438,0,Misc,not banned
2402,open,3,428,1,2,0,0,Science,not banned
3410,open,11,652,13,7,500,0,Science,not banned
3051,open,3,394,0,2,556,0,Discussion,not banned
835,open,2,294,0,2,59,0,Homework,not banned
3196,open,3,1199,2,2,371,0,Math,not banned
3868,open,19,1984,25,11,580,0,Science,not banned
471,open,24,955,19,9,73,0,Science,banned
3416,open,25,4527,12,11,7,0,Medicine,not banned
2651,open,8,693,3,5,231,1,Science,not banned
649,open,19,467,5,7,268,0,Speculation,banned
3049,open,18,442,2,9,495,0,Discussion,not banned
666,closed,6,328,0,4,0,0,Homework,not banned
2711,open,4,672,1,3,450,0,Science,not banned
2371,open,10,603,2,4,511,0,Science,not banned
1984,open,18,10293,261,12,83,1,Science,not banned
3503,open,10,1057,32,9,220,0,Math,banned
2219,open,4,135,15,3,111,0,Misc,not banned
1103,open,40,2003,17,29,129,2,Discussion,not banned
3523,open,2,401,0,2,16,0,Homework,not banned
3452,open,12,971,39,5,264,0,Math,not banned
2024,open,13,729,1,7,0,0,Speculation,not banned
2342,open,3,3330,1,4,1687,2,Misc,not banned
3163,open,16,6109,10,9,0,0,Math,not banned
426,open,3,226,0,3,84,0,Misc,not banned
2905,open,2,424,0,2,109,0,Discussion,not banned
2487,open,21,589,3,8,1501,0,Discussion,not banned
1048,closed,14,10202,72,8,0,0,Science,not banned
2931,open,27,1988,35,14,266,0,Homework,not banned
1008,closed,6,1000,0,4,120,0,Science,not banned
2212,open,6,571,0,3,670,0,Homework,not banned
3702,open,20,10905,3065,6,148,0,Math,not banned
1886,open,5,358,1,4,1658,0,Discussion,not banned
1285,open,2,841,22,2,0,0,Science,not banned
3209,open,6,904,0,4,189,0,Misc,not banned
349,open,2,530,0,2,1148,0,Misc,not banned
3078,open,5,764,2,2,43,0,Science,not banned
3719,open,2,518,0,1,43,0,Science,not banned
3797,open,5,700,0,5,554,0,Science,not banned
143,open,18,8103,3,5,829,0,Science,not banned
1777,open,4,631,2,2,0,0,Science,not banned
2585,open,3,379,0,3,307,0,Science,not banned
1578,open,2,2913,3,2,0,0,Science,not banned
3078,open,9,892,5,9,472,0,Science,not banned
132,open,11,388,3,6,44,0,Math,banned
3285,open,3,473,0,2,576,0,Science,not banned
91,open,10,348,33,7,1197,0,Science,not banned
1795,open,12,2585,9,5,5,0,Science,not banned
333,open,7,487,2,3,0,0,Science,not banned
741,open,5,353,5,2,3076,0,Discussion,not banned
2089,open,4,280,0,3,1362,0,Speculation,not banned
830,open,2,259,0,3,1668,1,Discussion,not banned
207,open,3,229,0,2,1081,0,Science,not banned
2079,open,2,3504,3,2,0,0,Misc,not banned
424,open,4,515,22,3,0,0,Medicine,not banned
2060,open,16,699,15,6,461,0,Discussion,not banned
265,open,5,215,2,4,0,0,Science,not banned
1567,open,11,704,2,8,21,0,Speculation,not banned
1003,open,4,418,1,3,0,0,Homework,not banned
2455,open,9,510,1,4,1226,0,Discussion,not banned
4288,open,7,1148,36,4,261,0,Discussion,not banned
840,open,2,333,5,2,7,0,Science,not banned
3536,open,8,623,1,4,73,0,Science,not banned
3600,open,3,1533,0,4,1,3,Science,not banned
3034,open,5,2109,2,4,848,0,Science,not banned
823,open,4,518,0,4,111,0,Math,not banned
904,open,23,2009,69,14,689,1,Medicine,not banned
236,open,7,320,0,4,0,0,Science,banned
3375,open,2,479,0,2,20,0,Science,not banned
783,open,3,364,11,3,1,0,Science,not banned
2245,open,50,2747,18,27,799,0,Discussion,not banned
3264,open,3,832,0,3,156,0,Discussion,not banned
1455,open,12,965,5,5,0,0,Science,not banned
3573,open,17,803,1,8,117,0,Discussion,not banned
2807,open,26,1439,11,8,0,0,Math,not banned
340,open,23,670,25,3,126,0,Math,not banned
2276,open,7,2373,1,5,1585,0,Science,not banned
3108,open,3,1042,59,3,2,0,Discussion,not banned
1715,open,7,934,1,7,2286,1,Misc,not banned
895,open,17,723,7,10,77,0,Science,not banned
3786,open,14,1336,14,11,477,0,Science,not banned
648,open,3,331,0,3,10,0,Science,not banned
478,open,6,4902,5,2,0,0,Homework,not banned
2973,open,13,75,1,8,1177,0,Misc,not banned
170,open,3,243,1,3,0,0,Medicine,not banned
3450,open,16,931,2,12,570,0,Speculation,not banned
1860,open,5,409,0,2,211,0,Homework,not banned
4350,open,5,590,2,3,200,0,Discussion,not banned
2095,open,61,2375,37,23,33,0,Speculation,not banned
4112,open,2,692,1,2,46,0,Speculation,banned
1163,open,2,4037,0,2,511,0,Science,not banned
2185,open,8,16814,86,4,787,0,Science,not banned
1257,open,53,7090,521,17,1241,0,Discussion,not banned
1359,open,3,1099,2,3,0,0,Homework,not banned
2371,open,2,406,0,2,480,0,Science,banned
2460,open,20,1826,27,9,15,0,Misc,not banned
3343,open,13,849,2,9,875,1,Science,not banned
1404,open,5,712,13,5,104,0,Discussion,not banned
4342,open,25,2299,1,8,207,0,Medicine,not banned
2004,open,8,1020,69,5,100,1,Science,not banned
1198,closed,27,2366,25,4,156,0,Speculation,not banned
2266,open,5,294,10,5,6,4,Misc,banned
2787,open,8,349,1,5,1762,0,Discussion,not banned
803,open,5,464,2,2,1301,0,Science,not banned
3282,open,2,490,1,2,0,0,Math,not banned
3690,open,26,1628,9,12,18,0,Misc,not banned
1302,open,5,1105,0,3,1074,0,Math,not banned
2675,open,5,626,580,5,0,0,Homework,not banned
3127,open,5,1233,0,3,902,0,Science,not banned
889,open,3,346,3,3,0,0,Speculation,not banned
205,closed,8,316,0,6,5,0,Discussion,not banned
3374,open,2,789,0,2,0,0,Math,not banned
1837,open,10,1456,37,7,1,2,Science,not banned
1573,open,4,805,137,4,0,0,Medicine,not banned
3460,open,27,2146,77,17,20,0,Math,not banned
981,open,18,1769,2,7,65,0,Science,not banned
475,open,5,412,13,3,3538,0,Science,not banned
2055,open,6,3091,0,3,30,0,Misc,not banned
1605,open,8,726,1,6,40,0,Discussion,not banned
493,open,6,337,0,4,901,0,Science,not banned
2262,open,6,525,0,4,56,0,Science,not banned
604,open,3,489,2,4,0,1,Science,not banned
3548,open,2,420,0,2,202,0,Discussion,not banned
2464,open,69,2991,17,10,0,0,Speculation,not banned
2772,open,9,501,1,8,1,0,Speculation,not banned
3081,open,16,937,3,11,0,0,Medicine,not banned
3871,open,55,2486,4,11,177,0,Science,not banned
940,open,4,441,8,3,1438,0,Speculation,banned
2330,open,5,435,4,4,1531,0,Science,not banned
3439,open,3,463,4,2,283,0,Discussion,not banned
3136,open,7,652,1,4,0,0,Math,not banned
3274,open,4,458,0,3,632,0,Science,not banned
3722,open,43,2776,153,13,23,0,Science,not banned
1013,open,9,510,12,3,2,0,Discussion,not banned
2500,open,9,589,1,5,198,0,Science,not banned
665,open,4,488,4,2,0,0,Science,not banned
1430,closed,8,839,0,8,0,0,Speculation,not banned
1504,open,5,1101,0,6,374,1,Misc,not banned
4069,open,2,643,0,2,97,0,Science,not banned
3100,open,2,679,104,2,225,0,Medicine,not banned
3211,open,16,472,3,7,513,0,Discussion,not banned
231,open,3,1610,0,2,0,0,Homework,not banned
2665,open,3,472,1,2,687,0,Science,not banned
1571,open,3,1224,10,3,0,0,Science,not banned
1442,open,7,1077,4,5,43,0,Medicine,not banned
835,open,3,355,10,3,1,0,Science,not banned
2416,open,20,1141,3,5,5,0,Science,banned
1464,open,10,897,27,6,0,0,Science,not banned
689,open,3,366,56,3,0,0,Science,not banned
344,open,22,472,3,6,2027,0,Discussion,not banned
787,open,5,1052,6,3,0,1,Science,not banned
3741,open,10,1327,1,6,260,0,Medicine,not banned
3724,open,9,2101,651,9,38,0,Medicine,not banned
995,closed,212,7925,43,22,0,1,Science,not banned
138,open,16,321,12,6,64,0,Science,not banned
1366,open,10,984,4,6,303,0,Discussion,banned
2236,open,9,17786,1,3,5,0,Homework,not banned
1583,open,7,751,9,2,123,0,Science,not banned
2389,open,4,325,0,3,428,0,Science,not banned
670,open,3,231,0,2,827,0,Speculation,not banned
1491,open,4,538,1,4,0,0,Misc,not banned
1537,open,4,1423,11,4,34,0,Science,not banned
2157,closed,4,292,1,4,108,0,Discussion,not banned
1442,open,22,1643,7,11,2,0,Speculation,banned
2690,open,17,683,4,10,0,0,Science,not banned
2488,open,6,874,1,3,284,0,Science,not banned
1449,open,4,301,0,2,428,0,Homework,not banned
2170,open,8,599,17,6,0,0,Science,not banned
562,open,5,363,50,5,147,0,Misc,not banned
927,open,52,2243,138,15,2890,0,Discussion,not banned
3498,open,71,2820,11,16,52,0,Discussion,not banned
2286,open,26,2430,93,14,0,0,Science,not banned
1499,open,2,667,0,2,1827,0,Science,not banned
773,open,4,890,177,3,0,0,Science,not banned
2278,open,34,2265,1346,17,0,0,Misc,not banned
3358,open,14,1959,3,6,90,0,Math,not banned
4424,open,7,923,1961,4,126,0,Science,not banned
2216,open,2,324,4,2,666,0,Speculation,not banned
2882,open,4,487,8,4,63,0,Science,not banned
74,open,5,263,0,4,578,0,Science,banned
1831,open,22,1229,11,6,1903,0,Discussion,not banned
3153,open,7,815,3,5,0,0,Science,not banned
3774,open,8,1012,6,4,2,0,Medicine,not banned
1526,open,6,892,314,5,1650,0,Science,not banned
3671,open,47,1022,12,8,117,0,Misc,not banned
3632,open,47,2343,38,20,59,0,Science,not banned
3394,open,6,476,1,3,410,0,Science,not banned
2053,open,21,1971,15,11,456,0,Science,not banned
866,open,11,988,2,7,2386,0,Math,not banned
3868,open,47,2650,5,10,118,1,Speculation,not banned
3535,open,12,1080,2,4,375,0,Science,not banned
998,open,3,430,0,2,0,0,Science,not banned
2770,open,5,407,2,3,475,0,Science,not banned
1176,open,4,4265,14,6,0,2,Homework,not banned
2506,open,5,2819,0,3,0,0,Science,not banned
3348,open,5,929,2,3,252,0,Math,not banned
2938,open,2,331,1,2,243,0,Discussion,not banned
2754,open,17,630,2,4,491,0,Science,not banned
880,open,2,317,4,2,1,0,Science,not banned
3217,open,12,498,2,9,933,0,Discussion,not banned
1152,open,3,1066,6,3,14,0,Science,not banned
3103,open,63,5459,738,29,215,3,Science,not banned
2747,open,2,643,0,2,0,0,Misc,not banned
3698,open,4,777,4,3,99,0,Science,not banned
3675,open,24,2510,30,10,15,0,Science,not banned
84,open,6,238,8,6,12,0,Speculation,not banned
2022,open,9,489,5,4,1812,0,Science,not banned
1379,closed,129,8704,72,25,97,0,Science,not banned
324,open,9,543,5,7,115,0,Medicine,not banned
1289,open,8,1373,2,4,2419,0,Medicine,not banned
622,open,22,716,6,6,0,0,Speculation,not banned
2192,open,5,685,4,4,441,0,Math,not banned
3347,open,20,1298,1,9,320,0,Misc,not banned
3379,open,14,868,26,12,154,1,Math,not banned
2119,open,22,837,11,11,14,0,Science,not banned
302,open,9,363,37,6,306,0,Science,not banned
3708,open,15,1592,2,9,0,0,Science,not banned
3185,open,13,697,11,8,263,0,Discussion,not banned
2718,open,6,587,1,4,1,0,Medicine,not banned
3030,open,56,1487,7,11,14,0,Discussion,not banned
943,open,3,677,0,2,0,0,Misc,not banned
2185,open,47,5215,302,14,934,1,Math,not banned
552,open,22,936,110,4,128,0,Discussion,banned
2952,open,4,618,6,3,0,0,Homework,not banned
3614,open,61,2318,247,23,1,0,Misc,not banned
2848,open,19,1524,836,11,194,0,Science,not banned
2821,open,178,6153,28,22,511,1,Discussion,not banned
3486,open,12,834,2,5,75,0,Science,not banned
1797,open,2,1701,1,2,91,0,Homework,not banned
3989,open,21,2809,19,9,0,0,Science,not banned
1946,open,4,3585,0,2,0,0,Science,not banned
2310,open,6,521,2,6,1440,0,Discussion,not banned
1905,open,5,270,1,3,0,0,Speculation,not banned
2385,open,9,1521,4,4,103,0,Misc,not banned
3526,open,4,421,1,3,31,0,Science,not banned
3691,open,123,2101,15,22,4,0,Misc,not banned
1390,open,3,464,1,2,174,0,Science,not banned
2597,closed,6,496,1,5,1,0,Science,not banned
1379,open,26,1551,7,8,1,0,Speculation,not banned
476,open,11,626,7,8,58,0,Science,not banned
1765,open,3,412,1,3,611,0,Science,not banned
3065,open,288,10390,38,34,602,3,Discussion,not banned
3522,closed,4,343,0,3,238,0,Discussion,not banned
1539,open,6,808,54,4,0,0,Science,not banned
3694,open,7,522,2,5,524,0,Science,not banned
2141,open,2,323,3,1,17,0,Homework,not banned
2467,open,3,368,2,3,0,0,Speculation,not banned
2059,open,8,454,1,7,1267,1,Discussion,not banned
1132,open,2,1072,9,2,27,0,Science,not banned
47,open,46,844,46,13,1799,0,Science,not banned
601,open,5,504,3,3,3,0,Speculation,banned
337,open,3,273,0,3,55,0,Science,not banned
2695,open,11,831,1,9,0,0,Science,not banned
2824,open,9,584,5,5,993,0,Science,not banned
1235,open,2,1047,0,2,1935,0,Misc,not banned
1507,open,4,589,0,3,2433,0,Science,not banned
2353,open,2,359,0,2,293,0,Science,not banned
2050,open,2,5366,1,4,0,3,Science,not banned
453,open,2,479,0,2,0,0,Speculation,not banned
1180,open,18,1776,50,8,492,0,Science,not banned
3408,open,19,485,8,16,0,0,Misc,banned
4011,open,4,575,53,4,107,0,Discussion,not banned
2764,open,5,350,0,5,1785,0,Discussion,not banned
924,open,30,1622,1,16,0,0,Science,not banned
101,open,41,882,13,14,32,0,Discussion,not banned
2786,open,11,1722,7,3,74,0,Medicine,not banned
1864,open,2,31,0,2,0,0,Science,banned
1102,open,7,623,4,7,362,0,Science,not banned
4348,closed,2,670,0,2,61,0,Discussion,not banned
3369,open,6,465,0,4,337,0,Science,not banned
3266,open,17,942,44,11,127,0,Math,not banned
3396,open,4,477,0,4,0,0,Science,not banned
1127,open,2,318,1,2,45,0,Homework,not banned
2196,open,6,23,0,3,2339,0,Misc,not banned
2123,open,4,520,1,2,1425,0,Speculation,not banned
3792,open,34,2396,227,29,1,5,Misc,not banned
3551,open,29,1702,2,7,28,0,Science,banned
3661,open,3,640,5,2,200,0,Science,not banned
4339,open,18,2770,17,10,2,0,Speculation,not banned
1977,open,3,391,0,4,0,1,Science,not banned
4132,open,7,2021,2,4,2,0,Medicine,not banned
1444,open,15,1242,3,5,225,0,Discussion,banned
