LoanNr_ChkDgt,Name,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,ChgOffDate,DisbursementDate,DisbursementGross,BalanceGross,MIS_Status,ChgOffPrinGr,GrAppv,SBA_Appv
7181063006,WHITE LINE TRUCKING INC,LEWISBURG,TN,37091,FIRST FARMERS & MERCHANTS BK,TN,NA,1994-06-23,1994,60,14,1,0,0,1,0,N,N,NA,1994-07-31,300000,0,P I F,0,300000,240000
9438653001,COMACHO DAY CARE & O'BRIEN PRE,FRESNO,CA,93722,GE CAP. SMALL BUS. FINAN CORP,TX,624410,1996-08-05,1996,123,9,1,0,0,1,0,0,N,NA,1996-12-31,229600,0,P I F,0,229600,172200
6200964003,STEVEN'S FLOORING,CRIDERS CORNERS,PA,16066,CITIZENS BANK NATL ASSOC,RI,238330,2003-03-26,2003,84,1,1,1,2,1,1,Y,N,NA,2003-04-30,76009,0,P I F,0,35000,17500
2022135006,"PROGRESSIVE STRATEGIES, INC.",LAS VEGAS,NV,89123,CAPITAL ONE NATL ASSOC,VA,531210,2006-09-18,2006,31,1,1,1,1,0,1,Y,N,2011-04-22,2006-10-31,128443,0,CHGOFF,48320,50000,25000
8776353003,HILLER PRINTING CO INC,ODESSA,TX,79762,WELLS FARGO BANK NATL ASSOC,SD,NA,1995-11-06,1996,300,7,1,0,0,1,0,N,N,NA,1996-04-30,156100,0,P I F,0,156100,117075
1064155005,"BMV Electric Co., LLC",LOUISVILLE,KY,40218,JPMORGAN CHASE BANK NATL ASSOC,IL,238210,2004-09-20,2004,60,17,1,0,0,1,1,N,N,NA,2004-10-31,254700,0,P I F,0,254700,127350
7337694000,DOLCE LLC DBA COLD STONE CREAM,COLUMBIA,SC,29205,"BUSINESS CAROLINA, INC.",SC,445299,2004-04-09,2004,126,1,2,0,0,17998,1,N,N,2011-07-08,2004-06-30,500000,0,CHGOFF,149467,500000,375000
3157126001,POSTNET,RICHLAND,WA,99352,COLUMBIA STATE BANK,OR,561431,2008-02-08,2008,120,5,2,3,2,1,1,0,N,NA,2008-04-30,150000,0,P I F,0,150000,127500
1156914009,SAM'S MARKET,SAN PABLO,CA,94806,BANK OF THE WEST,CA,NA,1997-04-22,1997,252,10,1,0,0,1,0,0,N,NA,1997-05-31,600000,0,P I F,0,600000,450000
6224004002,LOON LANDING INC,CENTER OSSIPEE,NH,3814,CITIZENS BANK NATL ASSOC,MA,722110,2003-04-04,2003,22,12,1,0,12,1,1,Y,N,2008-09-23,2003-06-30,14854,0,CHGOFF,4017,5000,2500
5496014004,ARDMORE FAMILY HEALTH CARE PLL,ARDMORE,OK,73401,BANCFIRST,OK,621111,2002-06-28,2002,154,6,2,0,0,1,2,N,N,2009-12-16,2002-07-31,453400,0,CHGOFF,162081,453400,340050
3120804008,BUSYBODY'S,TOLEDO,OH,43614,"PNC BANK, NATIONAL ASSOCIATION",OH,448140,1999-08-13,1999,63,2,2,0,0,1,1,0,Y,NA,1999-09-30,50000,0,P I F,0,50000,40000
7749133007,"COLORCO, LTD.",MERRIMACK,NH,3054,"TD BANK, NATIONAL ASSOCIATION",NH,327122,1994-11-03,1995,60,14,1,0,0,1,0,N,N,NA,1995-01-31,130000,0,P I F,0,130000,117000
1783235001,E & D Furniture Manufacture,LOS ANGELES,CA,90001,BANK OF AMERICA NATL ASSOC,NC,337125,2006-04-25,2006,21,3,1,0,3,0,1,T,N,2012-02-08,2006-10-31,12000,0,CHGOFF,7071,10000,5000
3983015009,Gary D Miller Sr,YANKTON,SD,57078,FIRST NATIONAL BANK OF OMAHA,SD,484110,2010-03-23,2010,76,3,1,0,3,0,1,N,N,NA,2010-04-01,34512,0,P I F,0,34512,34512
6318334008,RFG MARKETING LLC,GLEN ROCK,NJ,7452,CITIZENS BANK OF PENNSYLVANIA,PA,541613,2003-05-14,2003,84,4,1,0,4,1,1,Y,N,NA,2003-05-31,45000,0,P I F,0,35000,17500
2118126004,"RDG, INC.",SCOTTSDALE,AZ,85260,MUFG UNION BANK NATL ASSOC,CA,423120,2006-06-05,2006,84,6,1,0,6,1,1,0,N,2014-05-30,2006-06-30,635000,0,CHGOFF,569484,635000,476250
5139493003,"D & D AUTO PARTS, INC.",PIERRE,SD,57501,FIRST NATIONAL BANK,SD,NA,1992-10-09,1993,180,3,1,0,0,1,0,N,N,NA,1992-10-31,165000,0,P I F,0,165000,102300
5574083003,DAYS INN,LEBANON,NH,3766,CAPITAL REGIONAL DEVEL COUNCIL,NH,NA,1993-03-09,1993,240,17,1,5,12,22470,0,N,N,NA,1993-05-12,496000,0,P I F,0,496000,496000
5897383004,MICRON METAL INC.,BOHEMIA,NY,11716,BANK OF AMERICA NATL ASSOC,CT,332996,1993-08-30,1993,120,10,1,0,0,1,0,N,N,NA,1994-01-31,155000,0,P I F,0,155000,131750
1432204005,STAN NORWOOD FARM,LAUREL,MS,39440,"COMMUNITY BANK, ELLISVILLE",MS,112320,1997-07-23,1997,180,1,2,0,0,1,0,N,N,NA,1999-02-28,272000,0,P I F,0,272000,204000
8614993004,"TRENT LANDSCAPING, INC.",WEST HARTFORD,CT,6110,WEBSTER BANK NATL ASSOC,CT,NA,1995-08-24,1995,84,10,1,0,0,1,0,N,Y,NA,1995-10-31,50000,0,P I F,0,50000,45000
5510293008,GRAY & SONS AGENCY,GREENE,NY,13778,"NBT BANK, NATIONAL ASSOCIATION",NY,NA,1993-02-05,1993,84,6,1,0,0,1,0,N,N,NA,1993-04-30,105000,0,P I F,0,105000,94500
9432003004,EMERALD SUN ROOMS & DESIGN INC,AUSTIN,TX,78752,JPMORGAN CHASE BANK NATL ASSOC,NV,233210,1996-07-31,1996,12,5,1,0,0,1,0,N,N,NA,1997-02-28,200000,0,P I F,0,200000,150000
3890565000,Pure Bliss Therapeutic Massage,FORT WORTH,TX,76107,FIRST NATIONAL BANK OF OMAHA,NE,812199,2010-02-04,2010,84,1,2,2,1,0,1,N,N,NA,2010-05-01,70000,0,P I F,0,70000,63000
7248334006,CHINA SEAGULL INTERNATIONAL IN,HOUSTON,TX,77036,BBCN BANK,CA,442210,2004-03-09,2004,33,1,1,2,1,1,0,0,N,2008-07-22,2004-03-31,5000,0,CHGOFF,3076,5000,4250
6446804001,TOKYO DEN,CORPUS CHRISTI,TX,78412,AMER BANK NATL ASSOC,TX,722110,2003-06-26,2003,81,10,1,0,10,1,1,0,N,NA,2003-07-31,25000,0,P I F,0,25000,12500
7388344000,DONG IL PARK,PHILADELPHIA,PA,19106,CITIZENS BANK NATL ASSOC,RI,722211,2004-04-27,2004,84,4,1,0,4,1,1,Y,N,NA,2004-07-31,5000,0,P I F,0,5000,2500
5369485009,206 B&B Corp.,New York,NY,10017,NOAH BANK,PA,722211,2012-08-20,2012,120,1,2,29,30,0,1,N,N,NA,2013-04-01,800000,0,P I F,0,800000,600000
4360495000,"T&M Excavating, LLC",Binghamton,NY,13904,MANUFACTURERS & TRADERS TR CO,NY,238990,2010-11-10,2011,3,29,1,2,31,0,1,N,N,NA,2010-12-01,300000,0,P I F,0,300000,270000
3195185002,DB'S CAFE AND GRILL LLC,AUBURN,AL,36832,"SUPERIOR FINANCIAL GROUP, LLC",CA,722110,2008-08-22,2008,120,1,2,25,1,0,1,N,,NA,2008-08-31,10000,0,P I F,0,10000,8500
4667615004,"Physical Therapy Management, I",FORESTDALE,MA,2644,EASTERN BANK,MA,621340,2011-05-03,2011,60,10,1,2,10,0,1,N,N,NA,2011-05-03,40000,0,P I F,0,40000,20000
7208003000,D.J.'S CASUALS,MARBLE FALLS,TX,78654,WELLS FARGO BANK NATL ASSOC,SD,448140,1994-06-28,1994,84,5,2,0,0,1,0,N,Y,NA,1994-10-31,100000,0,P I F,0,100000,90000
4275904002,"NEW STAR RESTAURANT, INC.",HILO,HI,96720,BANK OF HAWAII,HI,722110,2001-02-06,2001,60,12,2,0,0,1,1,0,Y,NA,2001-02-28,100000,0,P I F,0,100000,85000
8380753009,"CAFE VIENNA, INC.",SPARTANBURG,SC,29302,BANK OF AMERICA NATL ASSOC,SC,NA,1995-05-31,1995,60,9,1,0,0,1,0,N,Y,NA,1995-07-31,60000,0,P I F,0,60000,54000
5314814008,NENA'S COMFORT OF HOME,TAMPA,FL,33629,UNITED MIDWEST SAVINGS BANK,OH,623312,2002-04-03,2002,300,3,2,0,0,1,2,N,N,NA,2002-04-30,335000,0,P I F,0,335000,251250
3645435003,"AUTO IMAGE RESTORATION, LLC",ANGOLA,IN,46703,"SUPERIOR FINANCIAL GROUP, LLC",CA,811121,2009-09-21,2009,120,1,2,3,1,0,2,N,,NA,2009-09-30,12500,0,P I F,0,12500,11250
5045814009,SUBWAY #18481,EVERETT,WA,98208,HERITAGE BANK,WA,722211,2001-11-14,2002,84,6,1,0,6,78760,1,0,N,NA,2001-12-31,116000,0,P I F,0,116000,98600
5646403003,H L OSTERMILLER CONSTRUCTION,BILLINGS,MT,59105,AMERICAN BANK,MT,NA,1993-04-14,1993,60,15,1,0,0,1,0,N,N,NA,1993-04-30,435000,0,P I F,0,435000,348000
7607304000,FIREHOUSE SUBS ORLANDO SQUARE,ORLANDO,FL,32809,SYNOVUS BANK,FL,722211,2004-07-14,2004,164,20,2,0,0,29912,1,N,N,NA,2004-08-31,150000,0,P I F,0,150000,127500
7724774000,FAST FRAME #487,BETHLEHEM,PA,18018,SANTANDER BANK NATL ASSOC,DE,453920,2004-08-24,2004,120,1,2,2,1,29585,1,0,N,NA,2004-10-31,120000,0,P I F,0,120000,60000
6780674005,COLOMBO CONSTRUCTION CORP,NEW YORK,NY,10013,"PNC BANK, NATIONAL ASSOCIATION",DE,541990,2003-10-10,2004,24,1,1,1,1,1,1,Y,N,NA,2003-12-31,49000,0,P I F,0,25000,12500
3250156004,"PERK STOP, BOWYER'S MOBILE ESP",RENTON,WA,98057,SOUTH SOUND BANK,WA,722330,2008-05-09,2008,84,4,2,4,0,1,0,0,A,NA,2009-01-31,120000,0,P I F,0,120000,102000
9120313004,FRONT ROW VIDEO,SELMER,TN,38375,SUNTRUST BANK,GA,NA,1996-03-22,1996,60,15,2,0,0,1,0,N,Y,NA,1996-04-30,25000,0,P I F,0,25000,20000
4235455000,"MAYER ELECTRONIC TECHNOLOGIES,",LAKE ORION,MI,48359,JPMORGAN CHASE BANK NATL ASSOC,IL,453998,2010-09-01,2010,55,5,1,2,5,0,2,N,N,2012-09-13,2010-09-01,32100,0,CHGOFF,32100,32100,32100
7931703008,R AND B ELECTRONICS,BATESVILLE,AR,72501,THE CITIZENS BANK,AR,443120,1994-12-21,1995,84,2,1,0,0,1,0,N,Y,NA,1995-04-30,90000,0,P I F,0,100000,90000
3458743004,"A.A. JACOBSEN, INC.",FARMINGDALE,NY,11735,LONG ISLAND DEVEL CORP,NY,811310,1989-06-12,1989,240,37,1,22,15,0,0,N,N,NA,1990-04-11,333000,0,P I F,0,333000,333000
8251823010,ARBY'S,COLORADO SPRINGS,CO,80904,WELLS FARGO BANK NATL ASSOC,CO,NA,1995-04-11,1995,180,12,1,0,0,5650,0,N,N,NA,1995-07-31,380000,0,P I F,0,380000,285000
1528195005,"American Chocolate, Corp.",HALLANDALE,FL,33009,BANK OF AMERICA NATL ASSOC,NC,311999,2005-11-04,2006,31,4,1,0,4,0,1,N,N,2010-05-17,2005-11-30,41500,0,CHGOFF,38089,41500,20750
6059243003,THE COUNTRYSIDE VETERINARY HOS,SHELTON,CT,6484,WELLS FARGO BANK NATL ASSOC,CT,541940,1993-11-17,1994,300,1,1,0,0,1,0,N,N,NA,1994-07-31,263500,0,P I F,0,263500,184450
4326154003,"ELITE MECHANICAL OF TEXAS,INC.",NEW BRAUNFELS,TX,78130,JPMORGAN CHASE BANK NATL ASSOC,IL,235110,2001-02-22,2001,240,13,1,0,0,1,2,N,N,NA,2001-06-30,257000,0,P I F,0,257000,192750
2008864010,HEAT-COOL SPECIALTIES INC,CHARLOTTE,NC,28208,WELLS FARGO BANK NATL ASSOC,SD,421730,1998-04-24,1998,300,25,1,0,0,1,0,0,N,NA,1998-06-30,927000,0,P I F,0,927000,695250
2212216003,DE HORITY CUSTOM POOLS,AUSTIN,TX,78747,COMPASS BANK,AL,238190,2006-07-07,2006,45,1,1,0,1,1,1,Y,N,2009-12-15,2006-07-31,50849,0,CHGOFF,22432,30000,15000
2502006008,FUTURE STARS DAYCARE CENTER,LINCOLN,NE,68505,SECURITY FIRST BANK,NE,624410,2006-10-31,2007,36,3,2,12,15,1,1,0,N,NA,2007-03-31,15000,0,P I F,0,15000,12750
2948685000,KIDZ ZONE LLC,CINCINNATI,OH,45246,THE HUNTINGTON NATIONAL BANK,OH,713990,2008-02-11,2008,56,0,1,0,0,0,1,Y,N,2013-12-04,2009-04-30,23260,0,CHGOFF,14620,15000,7500
2068283008,INSTITUTIONAL FOOD SERVICES IN,THOMSON,GA,30824,REGIONS BANK,AL,NA,1984-10-02,1985,39,23,1,0,0,0,0,N,N,1991-11-04,1984-11-16,450000,0,CHGOFF,185326,450000,360000
8147743010,SANTA BARBARA PEST CONTROL,SANTA BARBARA,CA,93101,COMMUNITY W. BANK NATL ASSOC,CA,NA,1995-03-07,1995,84,6,1,0,0,1,0,,Y,NA,1995-07-31,30000,0,P I F,0,30000,27000
7615923002,EAGLE PRINTING COMPANY,DENVER,CO,80216,DENVER URBAN ECONOMIC DEVEL CO,CO,NA,1994-09-26,1994,240,25,1,0,25,1,0,N,N,NA,1995-09-13,782000,0,P I F,0,782000,782000
2715593004,T. C. AUTO PARTS & SERVICE,CORPUS CHRISTI,TX,78415,TEXAS CERT. DEVEL COMPANY INC.,TX,NA,1986-09-15,1986,240,12,1,8800,8800,0,0,N,N,NA,1987-06-17,116000,0,P I F,0,116000,116000
3452453010,COOPER'S FLORIST,HURST,TX,76053,LOANS FROM OLD CLOSED LENDERS,DC,453110,1989-06-01,1989,228,5,1,0,0,0,0,N,N,NA,1989-07-31,110000,0,P I F,0,110000,97900
9777273010,THE BIRCHES LLC,PORT WASHINGTON,WI,53074,U.S. BANK NATIONAL ASSOCIATION,WI,233110,1996-11-20,1997,12,2,2,0,0,1,0,N,N,NA,1997-07-31,1000000,0,P I F,0,1000000,750000
9232863010,EMBROIDERY SHOP,JONESBORO,AR,72401,SIMMONS FIRST NATIONAL BANK,AR,NA,1996-04-29,1996,84,1,2,0,0,1,0,N,Y,NA,1996-04-30,37000,0,P I F,0,37000,29600
4719513009,"JAMES A. JACOBS, INC.",CINCINNATI,OH,45202,THE HUNTINGTON NATIONAL BANK,OH,541810,1992-02-18,1992,60,8,1,0,0,1,0,N,N,NA,1992-04-30,50000,0,P I F,0,50000,40000
4578503001,LITTLE KING,OMAHA,NE,68144,FIRST NATIONAL BANK OF OMAHA,NE,NA,1991-09-12,1991,83,10,2,0,0,48500,0,N,N,NA,1991-10-31,96000,0,P I F,0,96000,86400
2643714010,RAMADA INN,LENOIR,NC,28645,COMMUNITY W. BANK NATL ASSOC,CA,NA,1998-12-22,1999,228,21,2,0,0,1,0,N,N,2006-08-18,1999-01-31,850000,0,CHGOFF,354047,850000,637500
3436623002,LEBANON SCREW PRODUCTS,WEST LEBANON,NH,3784,CITIZENS BANK NATL ASSOC,RI,332721,1989-05-05,1989,60,8,1,0,0,0,0,N,N,NA,1989-07-31,55000,0,P I F,0,55000,46750
7419364010,MOBILE RESTROOM RENTALS INC,RIVERTON,UT,84065,ZIONS FIRST NATIONAL BANK,UT,512199,2004-05-07,2004,36,1,1,0,1,1,1,0,N,NA,2004-05-31,30000,0,P I F,0,30000,15000
9057604000,STAGEMEYER TRUCK LLC,HENDLEY,NE,68946,WELLS FARGO BANK NATL ASSOC,SD,484110,2005-08-22,2005,84,6,1,0,6,1,2,Y,N,NA,2005-09-30,51795,0,P I F,0,25000,12500
3731005010,"Olympic Provisions, LLC",PORTLAND,OR,97214,ALBINA COMMUNITY BANK,OR,722110,2009-11-03,2010,66,0,2,5,5,0,1,N,N,NA,2009-11-03,75000,0,P I F,0,75000,37500
4992374001,NORTHEAST CABLE NETWORKS INC,MERRIMACK,NH,3054,CITIZENS BANK NATL ASSOC,RI,235310,2001-10-19,2002,84,10,1,0,10,1,1,0,N,NA,2001-10-31,200000,0,P I F,0,200000,150000
5318904008,"KEY TRUCKING, INC.",VANCOUVER,WA,98661,EVERGREEN BUSINESS CAPITAL,WA,484121,2002-04-04,2002,240,70,1,10,0,1,1,N,N,NA,2002-08-14,311000,0,P I F,0,311000,311000
1980265009,RONALD L. BUSH DBA RON BUSH CO,JAMESTOWN,NY,14701,CITIZENS BANK NATL ASSOC,RI,811121,2006-08-21,2006,49,3,1,0,3,0,2,Y,N,2010-02-13,2006-09-30,39950,0,CHGOFF,19950,20000,10000
9171913007,"WESTCHESTER RETAIL SYSTEMS, IN",WESTCHESTER,NY,10550,JPMORGAN CHASE BANK NATL ASSOC,IL,NA,1996-04-05,1996,48,2,1,0,0,1,0,Y,N,NA,2000-02-29,10000,0,P I F,0,10000,5000
3621883001,TRANS-UNION CUSTOMS SERV.INC.,LOS ANGELES,CA,90045,WELLS FARGO BANK NATL ASSOC,SD,NA,1989-11-29,1990,300,10,1,0,0,1,0,N,N,NA,1990-01-31,236000,0,P I F,0,236000,177000
2448335004,"Wojstrom Enterprise, LLC and W",Granite City,IL,62040,ASSOCIATED BANK NATL ASSOC,WI,812210,2007-05-10,2007,216,2,2,2,2,0,1,N,N,NA,2007-06-30,390000,0,P I F,0,390000,292500
3236355002,ELECTRIC EXPRESSION,FUQUAY VARINA,NC,27526,"SUPERIOR FINANCIAL GROUP, LLC",CA,238210,2008-10-07,2009,100,1,1,2,1,0,1,N,,2011-08-16,2008-10-31,10000,0,CHGOFF,9064,10000,8500
2882904005,BEAR TRADE SHOW & CONVENTION S,YAKIMA,WA,98901,HOMESTREET BANK,WA,NA,1999-04-09,1999,84,3,2,0,0,1,0,0,Y,NA,1999-05-31,46500,0,P I F,0,46500,37200
